Date,Open,High,Low,Close,Adj Close,Volume
2021-01-23,0.008520,0.008808,0.008388,0.008579,0.008579,154393737
2021-01-24,0.008578,0.008951,0.008516,0.008727,0.008727,162191977
2021-01-25,0.008727,0.008879,0.008276,0.008383,0.008383,180820875
2021-01-26,0.008382,0.008456,0.008022,0.008255,0.008255,161173749
2021-01-27,0.008255,0.008259,0.007294,0.007482,0.007482,204797186
2021-01-28,0.007481,0.013826,0.007351,0.012555,0.012555,2125005503
2021-01-29,0.043734,0.077973,0.032341,0.047162,0.047162,25403310432
2021-01-30,0.046803,0.049901,0.022488,0.028176,0.028176,8735576553
2021-01-31,0.028579,0.045289,0.027193,0.038126,0.038126,9176391680
